date,mei,production,area_harvested,scaled_yield_idx
1961-12-31,-0.05558333333333334,12084000,6857000,-1.765176875405826
1962-12-31,-0.615,13004000,7283000,-1.7448290089262672
1963-12-31,0.3546666666666667,11595000,6731000,-1.7998995524649857
1964-12-31,-0.6031666666666667,12306000,6980000,-1.7645197764845817
1965-12-31,0.8323333333333333,12975000,7327000,-1.757681800327725
1966-12-31,0.62675,13650000,7691000,-1.754219898643169
1967-12-31,-0.6229166666666667,13222000,7516000,-1.7678964633136962
1968-12-31,-0.2024166666666667,17162000,8020770,-1.434753290994482
1969-12-31,0.9374166666666666,18020200,8013620,-1.3393214296172975
1970-12-31,-0.4524166666666667,19331000,8135080,-1.2276457416094397
1971-12-31,-1.4267500000000002,20190000,8324320,-1.184595858833398
1972-12-31,1.1181666666666663,19393600,7897640,-1.1581587612955193
1973-12-31,-0.3121666666666668,21489500,8403600,-1.0692437865076727
1974-12-31,-1.29025,22473008,8508600,-0.9956721565232932
1975-12-31,-1.38225,22339200,8495100,-1.0057876932932055
1976-12-31,-0.12866666666666662,23300944,8368760,-0.8704170324322423
1977-12-31,0.7047499999999999,23347136,8359570,-0.8628994823738221
1978-12-31,0.32575000000000004,25771600,8929170,-0.7811599775400104
1979-12-31,0.255,26282656,8803564,-0.6942828209647489
1980-12-31,0.3066666666666667,29651904,9005065,-0.4251986538416401
1981-12-31,-0.1675,32774176,9381839,-0.2496061579232479
1982-12-31,0.9658333333333332,33583696,8988455,-0.03690083301438845
1983-12-31,1.219166666666667,35303008,9162469,0.06525949091848321
1984-12-31,-0.32,38136448,9763580,0.1116513931324923
1985-12-31,-0.4325000000000001,39032944,9902293,0.14301067482551558
1986-12-31,0.29750000000000004,39726768,9988453,0.1740568002783854
1987-12-31,1.3733333333333335,40078192,9922594,0.22817609868630404
1988-12-31,-0.8700000000000001,41676176,10138155,0.2909853224893428
1989-12-31,-0.8224999999999999,44725584,10531207,0.41017038838838377
1990-12-31,0.18166666666666664,45178752,10502357,0.45816182735623345
1991-12-31,0.6141666666666666,44688240,10281519,0.49728840451438866
1992-12-31,1.16,48240008,11103317,0.4956998374681424
1993-12-31,0.8816666666666665,48181088,11012780,0.5222868743683768
1994-12-31,0.5025000000000001,46641500,10733800,0.49626373445891436
1995-12-31,-0.18083333333333326,49744140,11438760,0.4992780291340273
1996-12-31,-0.6149999999999999,51101504,11569729,0.5588937211956716
1997-12-31,1.1675,49377056,11140594,0.5723295692765196
1998-12-31,0.32333333333333325,49236700,11730200,0.36680956811323423
1999-12-31,-1.2366666666666666,50866388,11963204,0.4145009562723826
2000-12-31,-0.8508333333333334,51898000,11793000,0.5448139154065821
2001-12-31,-0.3900000000000001,50460800,11500000,0.5335631610727358
2002-12-31,0.3491666666666667,51489696,11521166,0.6046925942000777
2003-12-31,0.16999999999999996,52137600,11477357,0.669050533290869
2004-12-31,0.145,54088468,11922974,0.6636597624609342
2005-12-31,-0.02083333333333337,54151096,11839060,0.6964423625684928
2006-12-31,0.014999999999999994,54454936,11786430,0.7368932669681166
2007-12-31,-0.5966666666666666,54591000,11748000,0.760265164326527
2008-12-31,-1.0916666666666668,57661000,11728000,0.9963816751159307
2009-12-31,-0.03499999999999994,59014000,11778000,1.0786824751647264
2010-12-31,-0.8941666666666667,59283000,11797000,1.091580937077604
2011-12-31,-1.34,58259000,11653000,1.0690142539277736
2012-12-31,-0.32,59705000,11591000,1.201648455752952
2013-12-31,-0.4116666666666666,60095000,11631000,1.2154958522085864
2014-12-31,-0.024166666666666642,59059000,11473000,1.1987345909136446
2015-12-31,1.2766666666666666,61031000,11389000,1.383568406552635
2016-12-31,0.4525000000000001,59393000,11293000,1.2964627979192416
2017-12-31,-0.4991666666666667,59429000,11471000,1.2277600767886303
2018-12-31,-0.2883333333333333,59200534,11377934,1.247281025739306
2019-12-31,0.3441666666666667,54604033,10677887,1.1690530539984876
